customer_id,email,registration_date,age_group,region,tier
CUST0001,customer1@example.com,2024-12-30T17:39:40.644151,56+,West,Bronze
CUST0002,customer2@example.com,2025-03-05T17:39:40.644250,36-45,East,Bronze
CUST0003,customer3@example.com,2025-03-17T17:39:40.644261,46-55,East,Gold
CUST0004,customer4@example.com,2025-05-24T17:39:40.644265,18-25,South,Gold
CUST0005,customer5@example.com,2025-04-08T17:39:40.644268,26-35,South,Silver
CUST0006,customer6@example.com,2025-06-19T17:39:40.644271,56+,West,Gold
CUST0007,customer7@example.com,2025-03-20T17:39:40.644274,36-45,South,Platinum
CUST0008,customer8@example.com,2025-05-29T17:39:40.644276,36-45,South,Bronze
CUST0009,customer9@example.com,2025-04-05T17:39:40.644279,36-45,West,Bronze
CUST0010,customer10@example.com,2025-02-12T17:39:40.644282,46-55,West,Gold
CUST0011,customer11@example.com,2025-02-09T17:39:40.644284,36-45,North,Silver
CUST0012,customer12@example.com,2025-03-04T17:39:40.644287,26-35,East,Gold
CUST0013,customer13@example.com,2024-09-18T17:39:40.644296,46-55,North,Silver
CUST0014,customer14@example.com,2024-11-30T17:39:40.644299,56+,East,Platinum
CUST0015,customer15@example.com,2025-07-06T17:39:40.644301,46-55,South,Platinum
CUST0016,customer16@example.com,2025-06-02T17:39:40.644304,46-55,North,Gold
CUST0017,customer17@example.com,2025-04-02T17:39:40.644307,26-35,West,Silver
CUST0018,customer18@example.com,2025-07-15T17:39:40.644309,56+,North,Bronze
CUST0019,customer19@example.com,2024-12-18T17:39:40.644406,46-55,South,Gold
CUST0020,customer20@example.com,2025-03-25T17:39:40.644431,46-55,North,Gold
CUST0021,customer21@example.com,2024-10-09T17:39:40.644441,36-45,South,Gold
CUST0022,customer22@example.com,2025-04-23T17:39:40.644447,36-45,North,Platinum
CUST0023,customer23@example.com,2025-04-08T17:39:40.644453,46-55,East,Platinum
CUST0024,customer24@example.com,2025-08-15T17:39:40.644459,46-55,East,Platinum
CUST0025,customer25@example.com,2025-05-26T17:39:40.644464,18-25,East,Bronze
CUST0026,customer26@example.com,2025-07-02T17:39:40.644469,18-25,East,Platinum
CUST0027,customer27@example.com,2025-04-30T17:39:40.644475,36-45,East,Gold
CUST0028,customer28@example.com,2025-03-25T17:39:40.644481,36-45,South,Gold
CUST0029,customer29@example.com,2025-01-12T17:39:40.644486,18-25,South,Bronze
CUST0030,customer30@example.com,2024-12-19T17:39:40.644491,36-45,North,Platinum
CUST0031,customer31@example.com,2025-04-17T17:39:40.644496,36-45,North,Gold
CUST0032,customer32@example.com,2025-01-21T17:39:40.644501,36-45,North,Bronze
CUST0033,customer33@example.com,2025-05-21T17:39:40.644506,18-25,West,Bronze
CUST0034,customer34@example.com,2024-12-19T17:39:40.644512,36-45,West,Platinum
CUST0035,customer35@example.com,2025-02-26T17:39:40.644517,36-45,South,Bronze
CUST0036,customer36@example.com,2024-10-04T17:39:40.644522,36-45,East,Bronze
CUST0037,customer37@example.com,2025-07-06T17:39:40.644527,46-55,North,Bronze
CUST0038,customer38@example.com,2025-07-07T17:39:40.644541,36-45,West,Platinum
CUST0039,customer39@example.com,2025-06-27T17:39:40.644547,36-45,North,Platinum
CUST0040,customer40@example.com,2025-01-09T17:39:40.644559,18-25,South,Platinum
CUST0041,customer41@example.com,2025-07-06T17:39:40.644566,26-35,West,Platinum
CUST0042,customer42@example.com,2025-01-13T17:39:40.644572,26-35,South,Gold
CUST0043,customer43@example.com,2024-11-30T17:39:40.644577,56+,West,Bronze
CUST0044,customer44@example.com,2025-01-28T17:39:40.644582,56+,South,Platinum
CUST0045,customer45@example.com,2025-02-12T17:39:40.644587,26-35,West,Platinum
CUST0046,customer46@example.com,2025-02-06T17:39:40.644592,46-55,South,Silver
CUST0047,customer47@example.com,2025-06-07T17:39:40.644597,56+,South,Platinum
CUST0048,customer48@example.com,2025-04-18T17:39:40.644603,18-25,West,Gold
CUST0049,customer49@example.com,2025-04-19T17:39:40.644608,26-35,North,Silver
CUST0050,customer50@example.com,2025-05-29T17:39:40.644613,26-35,South,Platinum
CUST0051,customer51@example.com,2025-06-08T17:39:40.644618,36-45,North,Gold
CUST0052,customer52@example.com,2024-11-06T17:39:40.644623,36-45,East,Platinum
CUST0053,customer53@example.com,2025-02-12T17:39:40.644737,36-45,North,Gold
